pos,artist_name,track_uri,artist_uri,track_name,album_uri,duration_ms,album_name,Genre,releaseYear
26,Gucci Mane,spotify:track:3oePgThYVcdoQCBAf4lovM,spotify:artist:13y7CgLHjMVRMDqxdx0Xdo,Freaky Gurl (feat. Ludacris and Lil Kim) - Remix,spotify:album:5bq0rBzgv7bJEwn76KfHBF,280986,Back To The Traphouse,"southern hip hop, rap, trap",2007.0
88,Snoop Dogg,spotify:track:2NCxDBm5rKdBnHpyu6z1iX,spotify:artist:7hJcb9fa4alzcOq3EaNPoG,Brake Fluid (Biiittch Pump Yo Brakes) - Feat. KoKane,spotify:album:71VPCdeQQs1dmyVbflhPjX,355800,Tha Last Meal,"g-funk, west coast hip hop, gangster rap, hip hop, rap",2000.0
3,Monica,spotify:track:2dqdSxPhnGZ9EUHL4wlmUj,spotify:artist:6nzxy2wXs6tLgzEtqOkEi2,Like This And Like That,spotify:album:4AYwgKPCqjnAPINRAifWzr,282000,Miss Thang,r&b,1995.0
181,Brooks & Dunn,spotify:track:4v7LzXUK68OVcK9frIwnlr,spotify:artist:0XKOBt59crntr7HQXXO8Yz,Texas Women (Don't Stay Lonely Long),spotify:album:1n9kTKYQigHg6FRYAZtyiq,219000,The Collection,"country, acoustic country",1991.0
185,Jerry Jeff Walker,spotify:track:4eOHHB1B8G3IRVwQ79pkRX,spotify:artist:763opp15PhfHpEaiVjM6m7,"Don't It Make You Wanna Dance? - Live (Luckenbach, TX)",spotify:album:4Hhu8KAqpu9tCmNFDdeXDa,257773,A Man Must Carry On Volume One,"texas country, red dirt, country rock, americana",
58,Mark Chesnutt,spotify:track:1NSVZ4PkjbFQpxPfqxuEOE,spotify:artist:2cNV8vNe2fPFf6OfGOBbSS,It Sure Is Monday,spotify:album:5iAWCgrI5itZExQTU3x0cr,177400,Almost Goodbye,"country, traditional country",1993.0
134,Tune-Yards,spotify:track:5vPM0NFRrlXVSdBj9PPC9f,spotify:artist:0asVlqTLu3TimnYVyY5Jxi,Es-so,spotify:album:7rBLvpL7ZWi1YCSXSLUZKF,209533,W H O K I L L,art pop,2011.0
71,George Strait,spotify:track:1W0pTdP5IbbTZvOiH2ap3R,spotify:artist:5vngPClqofybhPERIqQMYd,She Knows When You're On My Mind,spotify:album:79adVMcMUNGN9Gw5qJI8JG,195760,Blue Clear Sky,"country, traditional country, honky tonk",1996.0
8,Tamela Mann,spotify:track:2sE3YwoUfnVdI0L3dFAERq,spotify:artist:6ZyV955Ypf3JAKInn1a0dt,Back in the Day Praise,spotify:album:1rfmcUZ1RuSOja3WgTSvWU,213503,Best Days (Deluxe),"gospel, worship",2012.0
54,Glee Cast,spotify:track:2rpMgFbaAwD4mH2N0wFv54,spotify:artist:0SCbttzoZTnLFebDYmAWCm,Dinosaur (Glee Cast Version),spotify:album:082BH67sSIDefLxUp8GgNm,175320,"Glee: The Music, The Complete Season Three",christmas,2012.0
0,The Game,spotify:track:5rrM4iL96IbYriw31xoPQK,spotify:artist:0NbfKEOTQCcwd6o7wSDOHI,The Purge (feat. Stacy Barth),spotify:album:7gwM7SCrKjzgdF1IUB14Ly,314386,Blood Moon: Year Of The Wolf,"west coast hip hop, gangster rap, hip hop",2014.0
79,Warren Zevon,spotify:track:1z4MHa8lxfm71P8SVwOf1P,spotify:artist:3mY9Ii0cL5SQxpOTAm8SHx,Knockin' On Heaven's Door,spotify:album:2MdzSNkUMDfJNs2uEhxbbO,243333,The Wind,singer-songwriter,2003.0
98,Hijos De Barron,spotify:track:1MrIwVzaphjQOugQjavzVV,spotify:artist:32YGQsNtuwyobFFnn8ikpe,Juro Quererte,spotify:album:0K9TV7BiadUZOpN9wQ9pvY,200813,Lo Que Pesa Mi Palabra,"sierreño, corrido, norteño, banda, sad sierreño",2016.0
112,Armin van Buuren,spotify:track:2rhjxvdcA7W6J29fHrYdzw,spotify:artist:0SfsnGyD8FpIN4U4WCkBZ5,Another You - Ronski Speed Radio Edit,spotify:album:2eVOnKA4e2QKZbt5VDik5u,233400,Another You,"trance, progressive house, electronica, edm",
97,Lil Wayne,spotify:track:5o5KX1f1JBQ2SxGzE8RQQA,spotify:artist:55Aa2cqylxrFIXC767Z865,It's Good,spotify:album:1uuSC0RCJB3dSp8Mb6GflZ,241466,Tha Carter IV,"rap, hip hop",2011.0
8,Grupo Bryndis,spotify:track:76tyr1FHLhUoVPRCttZ8wk,spotify:artist:44WCHvwXBOMz6nm7Mu2ReO,Tu Lugar Se Ocupó,spotify:album:1ICfNn1KnGQnjyXaYOiB3c,188786,Tu Amor Secreto,"grupera, cumbia",1995.0
68,Peter Tosh,spotify:track:3PVsNyNNBBGnBWnjcLd41S,spotify:artist:0oea1hwGMfUxZbLxJc1XUN,Recruiting Soldiers - 2002 Remastered Version,spotify:album:0vTWrXdKO4SijjSYCUIuTK,267586,Mystic Man,"reggae, roots reggae, rocksteady, ragga, dub",
25,Rosemary Clooney,spotify:track:7cWHGLzaefeI2cvospxRqs,spotify:artist:0NkyXWGxE3WTFixDSJ39PK,The Christmas Song,spotify:album:06K1wNFXyLZJH4igYiFnPs,201000,A Merry Christmas from Bing Crosby,"vocal jazz, big band",2011.0
66,Wax Tailor,spotify:track:2duclpTZ0UABSnfNBKMb5I,spotify:artist:3qwxSif06Qwzykdln8ZGfG,A Woman's Voice,spotify:album:7dzxM6pI8umSkVqv1yY9qZ,203493,Tales of the Forgotten Melodies,"trip hop, downtempo, electro swing, nu jazz",2005.0
35,Nora En Pure,spotify:track:6hCCM6afzneexA8e567iXD,spotify:artist:24DO0PijjITGIEWsO8XaPs,Convincing,spotify:album:2Wm0liqDEbtMLHF050IDn5,190327,Convincing,"deep house, melodic house, chill house, progressive house, house",2016.0
233,Sean Paul,spotify:track:0OF184vEASwoN9x3HTFCPQ,spotify:artist:3Isy6kedDrgPYoTS1dazA9,Hold My Hand (I'll Be There) [feat. Keri Hilson],spotify:album:0TaTIqRKuaTrWhCw8hEi8X,204560,Imperial Blaze,dancehall,2009.0
37,Smokey Robinson & The Miracles,spotify:track:0liOMn27rX7qXK6lJV1c7a,spotify:artist:6TKOZZDd5uV5KnyC5G4MUt,I Can Tell When Christmas Is Near,spotify:album:1ZqVbQSoWPmlK2SHanxWea,187720,The Season For Miracles,"motown, soul, northern soul",1970.0
13,Phosphorescent,spotify:track:55C8Zut2Ug8wPNrU4OJYPd,spotify:artist:57kIMCLPgkzQlXjblX7XXP,Ride On / Right On,spotify:album:2he3CA9Gg1XLCsBiMAaXiz,224906,Muchacho,chamber pop,2013.0
5,Headhunterz,spotify:track:1bCF3Sis2Wn4WFe9mxvYrJ,spotify:artist:6C0KWmCdqrLU2LzzWBPbOy,Dreamcatcher,spotify:album:4wbWw5CViRDB0owpVl0dfY,246414,Headhunterz - Studio Sessions,"hardstyle, frenchcore, melbourne bounce, hardcore, big room",2010.0
8,The City of Prague Philharmonic Orchestra,spotify:track:2tyU30FH6n1PEMoFfdBuqG,spotify:artist:2oQJQUIpJFFnfKvHJA0xBu,Frei geboren - Königin der Wildnis,spotify:album:4tnt26GSjFBm0mUvqodQoi,169000,100 große Filmthemen Nehmen 2,"orchestra, classical",2010.0
36,Jon B.,spotify:track:7qtvSif5dS4MFqwJN453bL,spotify:artist:3SRJWVa6lZnqRHOyAHmDrX,Cool Relax,spotify:album:0qjM1vdeBbiAdmeYNb2iBg,266706,Jon B - Greatest Hits...Are U Still Down?,"r&b, quiet storm, smooth r&b",2008.0
56,Parliament,spotify:track:1kw4BUwWTb1gfS8jqjhqHN,spotify:artist:5SMVzTJyKFJ7TUb46DglcH,Undisco Kidd (The Girl Is Bad!) - Live/1977,spotify:album:4uo3E7qBCmmZ28Oj7DJJqm,422799,Live: P Funk Earth Tour,"funk, funk rock",1977.0
78,Old & In The Way,spotify:track:6M18vnUoAE8geZRk0pju5O,spotify:artist:45vs9Drn5QbWAQ4Kff6ofh,Home Is Where the Heart Is,spotify:album:1K4nQZB9nswB1vUy5efYP2,165346,The Complete Boarding House Shows,"bluegrass, newgrass, americana",2013.0
13,The Smiths,spotify:track:03ZwNF6FTvazNuOXNQf8k8,spotify:artist:3yY2gUcIsjMr8hjo51PoJ8,The Queen Is Dead - 2011 Remastered Version,spotify:album:5Y0p2XCgRRIjna91aQE8q7,387146,The Queen Is Dead,"new wave, madchester, jangle pop",1986.0
13,112,spotify:track:0o6aDRc56q5oVbY7uxYds5,spotify:artist:7urq0VfqxEYEEiZUkebXT4,In Love With You,spotify:album:5lSLGYViKHz22S8gEXz9Vc,273962,112,r&b,1996.0
93,Toby Keith,spotify:track:4ytWnw5vQj1kR4yIDbxNGc,spotify:artist:2bA6fzP0lMAQ4kz6CF61w8,Go Tell It On The Mountain,spotify:album:2Br6AKv1e2rFWft9uc5nrK,197626,Toby Keith: A Classic Christmas,country,2007.0
48,Pearl Jam,spotify:track:4E938GnJH2e4dtImtRpjpX,spotify:artist:1w5Kfo2jwwIPruYS2UWh56,Life Wasted,spotify:album:5PY2mZGCOMezmWH7hiCwFH,232000,Pearl Jam,"grunge, rock, post-grunge",2006.0
65,Ramblin' Jack Elliott,spotify:track:2F0p6VM2IgTD62AYKS4w3k,spotify:artist:6iuM8yp1x2N0l6SONhyq4b,Just Like Tom Thumb's Blues,spotify:album:6ZSp2CcRWdyTm50DbI9MAX,413454,I'm Not There (Music From The Motion Picture),"folk, americana, bluegrass",2007.0
194,Jane's Addiction,spotify:track:1LocmmPcDxGcD18k5jh6kO,spotify:artist:02NfyD6AlLA12crYzw5YcR,Mountain Song - Live From Vive Latino,spotify:album:0mqzGqI1ZDOWkr7we7Uard,268453,The Great Escape Artist,"funk rock, grunge",2011.0
19,Everclear,spotify:track:2Rd1iHW3Izkuhybyvs0i0r,spotify:artist:694QW15WkebjcrWgQHzRYF,Santa Monica - Acoustic,spotify:album:6xUj6fl0SJCCiQyqmY73yQ,200306,Deep Cuts,"post-grunge, alternative rock",
145,Nate Dogg,spotify:track:10C83Ul1IxCyuoJRWtx5GN,spotify:artist:1Oa0bMld0A3u5OTYfMzp5h,Your Wife (feat. Dr. Dre),spotify:album:1MCA50GzswxscAouRWnrES,219493,Music And Me,"g-funk, west coast hip hop, gangster rap",2001.0
91,India.Arie,spotify:track:4DgKkbKCRNjHLhauwGBVVA,spotify:artist:7Gf3LSwa5hh8Cjo60WhVjC,Yellow,spotify:album:2ZooOmWqS3XCNVZIZV9IB5,174786,TESTIMONY VOL. 2: LOVE & POLITICS,neo soul,2009.0
63,Purity Ring,spotify:track:1VS2WwN3H4SNWMIrAzYqUi,spotify:artist:1TtJ8j22Roc24e2Jx3OcU4,Crawlersout,spotify:album:7ppypgQppMf3mkRbZxYIFM,190400,Shrines,"witch house, indietronica, chillstep",2012.0
53,Randy Travis,spotify:track:1z27smm1DuS5CpwXhLmYNj,spotify:artist:1pTuR132U5b4Rizal2Pr7m,That's The Way Love Goes,spotify:album:0dPq9ajIrT42cVEhBjP0jN,188573,Influence Vol. 2: The Man I Am,"christian country, country, traditional country",2014.0
44,Wavves,spotify:track:4LWH5AHmjeLVsQ1S0ol50z,spotify:artist:6bUJpbekaIlq2fT5FMV2mQ,Bug,spotify:album:2i1O8SU8jfiNm2N9QA0QU7,174553,Life Sux,"garage rock, surf rock, noise rock",2011.0
4,Dan Auerbach,spotify:track:2dqRgUIrAX6Ptads6ttPDw,spotify:artist:6YWdHD3R863Apw1hkx3BwC,Whispered Words (Pretty Lies),spotify:album:1aS3ouxrqC2xAjR5LJku6M,246253,Keep It Hid,blues rock,2009.0
32,Henry Mancini,spotify:track:7DnUVyw2jEoN4Fc7o5R4TR,spotify:artist:2EExdpjU4SK3xnJHO5paJf,No Other Love,spotify:album:3gSWWFpVp02hQM9ivoIIbr,160426,The Best of Henry Mancini: The 1981 Reader's Digest Recordings Vol. 2,"exotica, adult standards, easy listening",2008.0
11,Al Green,spotify:track:5JcBaxxrCErCUDDsNtBf8A,spotify:artist:3dkbV4qihUeMsqN4vBGg93,All Because,spotify:album:6A2T77SSF5TUglshWSQAiC,170306,Gets Next to You,"soul, motown, soul blues",1971.0
63,Linkin Park,spotify:track:7s0AzAsgCPL2J39J1YVOQ8,spotify:artist:6XyY86QOPPrYVGvF9ch6wz,"The Catalyst - Live from Paris, 2010",spotify:album:0hJ3A7sih1AXDoMjXHLr7Q,354186,A Thousand Suns Live Around The World,"nu metal, rap metal, rock, alternative metal",
112,Chief Keef,spotify:track:7y7bmax41rKlTLOmgNvzKR,spotify:artist:15iVAtD3s3FsQR4w1v6M0P,Please,spotify:album:1yrSQIKpoDBANtaKyI7cQk,207647,Sorry 4 The Weight (Deluxe Edition),drill,2015.0
2,Virlan Garcia,spotify:track:0wzhSnDza7Vo5qBRJwvS8u,spotify:artist:0vjeBgTzYTwmYoVySJzXGD,Los Aéreos,spotify:album:0Z5UGSApdZuS8bzTPDeqXm,219200,Y Cambió Mi Suerte,"banda, sierreño, corrido, norteño, sad sierreño, corridos bélicos",2016.0
63,Doris Day,spotify:track:6mUAohM3rAuD0J2vyo9WDq,spotify:artist:3ESG6pj6a0LvUKklENalT6,I'll See You In My Dreams,spotify:album:7gHGuMykqS5vg8lj1TYWGB,194640,With A Smile And A Song,"adult standards, big band",2012.0
6,Johnny Cash,spotify:track:3A2ktn3pcdHQnuxEyI0Sfs,spotify:artist:6kACVPfCOnqzgfEF5ryl0x,Christmas as I Knew It,spotify:album:6IzlXNgiKR8HIZT5aK2Oqd,168440,The Johnny Cash Family Christmas,country,1972.0
39,Van Halen,spotify:track:18fIsTimWvKXA2whjHYON3,spotify:artist:2cnMpRsOVqtPMfq7YiFE6K,Little Guitars,spotify:album:6Ft0JILsEo5ZP2ddjECznc,227630,Diver Down,"glam metal, classic rock, rock, hard rock",1982.0
24,A.B. Quintanilla III,spotify:track:0l3TQ9jYtw9noM6kyjwVyi,spotify:artist:5MP9bH9aUryiKQeUvABLIU,Quien,spotify:album:1CJEE36qrJYAUXVJuVQ7ne,199800,Fuego,"tejano, cumbia",2004.0
105,Junior M.A.F.I.A.,spotify:track:6PhOzQShyz2vjELsXax7TQ,spotify:artist:3r0OeTcOw37N9juMYyyw39,Player's Anthem,spotify:album:5LJlB2P5aDcAkKmH8fqwDw,322266,Conspiracy,east coast hip hop,1995.0
135,Thomas Rhett,spotify:track:5qFiHqrkmSPAQdp6abWtQC,spotify:artist:6x2LnllRG5uGarZMsD4iO8,Background Music,spotify:album:0qOpKQX8DBZaI6lhXv5aa0,168933,Tangled Up,"country, acoustic country, pop country",2016.0
87,James Brown,spotify:track:5Py5dI3WuKjg6KAdTbvcNq,spotify:artist:7GaxyUddsPok8BuhxN6OUW,Try Me,spotify:album:4r97doDioSnKr0a2QCJDEs,110426,Soul Train Live Vol. 2,"soul, motown, funk",
87,Johnny Cash,spotify:track:6VteO9AzhBmBYL6La8r1xA,spotify:artist:6kACVPfCOnqzgfEF5ryl0x,I Heard That Lonesome Whistle Blow,spotify:album:4zZYOQOxP40rngwVrR3djW,138413,I Walk The Line,country,2008.0
27,State Radio,spotify:track:7uQv8uFZPjRSocRowhQTTA,spotify:artist:6eaKsv68njcrz5OjeQor5L,The General - Live Acoustic 12/6/08,spotify:album:3xWkrvSGfPnagTDGeOp1fo,286626,Live at The Brattle Theatre,reggae rock,2010.0
20,Pyotr Ilyich Tchaikovsky,spotify:track:1pGZe0NpAKRI4FiW2Qt8Mj,spotify:artist:3MKCzCnpzw3TjUYs2v7vDA,"Nutcracker Suite, Op.71a: March",spotify:album:3O3NctrRaopDdKaIMpUSOo,160000,Tchaikovsky: Ballet Suites - The Nutcracker; The Sleeping Beauty; Swan Lake,classical,1999.0
85,YG,spotify:track:2amEGukf72WmlPCXujlRgl,spotify:artist:0A0FS04o6zMoto8OKPsDwY,Ride With Me,spotify:album:3ldsrFbLgrIJ00byb2tncW,227773,Blame It On The Streets,hyphy,2014.0
203,Miles Davis,spotify:track:3e18UAoF9CrRGkNxU2nlfU,spotify:artist:0kbYTNQb4Pb1rPbbaF0pT4,Chance It (aka Max Is Making Wax) - Live Version,spotify:album:4VUawqEDCHHfrUe77ScQ2K,273386,'Round About Midnight,"jazz, cool jazz, hard bop, bebop, jazz fusion, jazz blues, free jazz",1957.0
104,Matthew Dear,spotify:track:6J9mZgXp6BH0LAoJ9gBlPB,spotify:artist:2GLf7iaOOujAem5R87xwto,Deserter - Four Tet Remix,spotify:album:6wmUnFNka2gPwYwF0srFAM,343597,Asa Breed Black Edition,minimal techno,2008.0
62,OutKast,spotify:track:25EtWmcUALs9Gtfiv7Bcab,spotify:artist:1G9G7WwrXka3Z1r7aIDjI7,"Mighty ""O""",spotify:album:3L6JBfRxhzGzhhRDlTEdBz,256226,Idlewild,"southern hip hop, hip hop",2006.0
0,Nengo Flow,spotify:track:3n5LgughelxZAJKmJ1d56u,spotify:artist:12vb80Km0Ew53ABfJOepVz,Te Extraño (feat. Kevinsito),spotify:album:4fIyZEKAUwrH6o4rWrdmT0,216826,Real G4 Life Vol. 3,"reggaeton, trap latino",2017.0
39,The Martins,spotify:track:6d0jp1DG1Fu7WexWjNbOiA,spotify:artist:5C8kymLzxGEAPJ3aNdFciB,"O Come, O Come Emmanuel - A Season To Remember Album Version",spotify:album:1fwys8m2w8VKAAAE55cssc,169093,Light Of The World,"southern gospel, christian country, gospel, christian",
7,Cody Johnson,spotify:track:1srZuICifyjt9Yg2DA8Mkj,spotify:artist:6zLBxLdl60ekBLpawtT63I,(I Wouldn't Go There) If I Were You,spotify:album:0JKpAxkMB9RxA4EqqhLhLj,224573,Cowboy Like Me,"texas country, country, red dirt",2014.0
79,Armin van Buuren,spotify:track:7d1jcjXOnHArlVF6gFzuS2,spotify:artist:0SfsnGyD8FpIN4U4WCkBZ5,Face of Summer,spotify:album:0WbQxK1HJ9Y0HFNm2m8PUe,398333,Embrace,"trance, progressive house, electronica, edm",2015.0
73,The Pogues,spotify:track:0Tq1stXJXGhPkW4yjYqke5,spotify:artist:2wzMOQwNT6ZvVB4amvhFAH,Anniversary,spotify:album:2AGx8a5UJvGA1sdz6y6OkE,246786,Pogue Mahone,"celtic rock, christmas, folk punk, celtic",1995.0
50,Pet Shop Boys,spotify:track:5Z7jSa3bxxuhreMRQ3OJEr,spotify:artist:2ycnb8Er79LoH2AsR5ldjh,The Pop Kids (Radio Edit),spotify:album:0KEGItASkbJDZWwgKpLdPp,220144,The Pop Kids (Radio Edit),"synthpop, new wave",
192,Cascada,spotify:track:6T7lS19bsXAiFIzbRfcl4Y,spotify:artist:0N0d3kjwdY2h7UVuTdJGfp,What Hurts the Most - Nightcore Edit,spotify:album:7cpdHFI1QRqKG9OmXJ0G9V,174868,Nightcore,"eurodance, europop",
152,Arcade Fire,spotify:track:6UIhbJUCgG4epow1378fhk,spotify:artist:3kjuyTCjPG1WMFCiyc5IuB,Joan Of Arc,spotify:album:37xl28qGX45H01dsex3nUx,324496,Reflektor,"indie rock, baroque pop",2013.0
18,Super Junior,spotify:track:5qbmEnq7jDlxRbddyUP0dv,spotify:artist:6gzXCdfYfFe5XKhPKkYqxV,Oops!! (Feat. f(x)),spotify:album:3UssHJTVCfHiKKINAtgIC1,226040,The 5th Repackage 'Mr.Simple',k-pop,2011.0
164,Johnnyswim,spotify:track:4fxNwAXn8J9LNi5Rz8eMIv,spotify:artist:4igDSX1kgfWbVTDCywcBGm,You and I,spotify:album:2y2pzedHjln9MbTHCq99qP,222920,Diamonds,folk pop,2014.0
59,Thomas Newman,spotify:track:03zBsPNZ2sjZx96R39hc5h,spotify:artist:1csBgT42N4pPPs1HJhxXIK,Snowplay - Instrumental,spotify:album:0Ug5EnJH0wl1DFPC8HAtpK,47322,Little Women Soundtrack,soundtrack,1995.0
34,Gregory Porter,spotify:track:60evPzGTu8tiDSlrZGcUHz,spotify:artist:06nevPmNVfWUXyZkccahL8,Feeling Good,spotify:album:6t5CyFALCTw4KIsCbWNRPY,181586,Water,"vocal jazz, jazz",2014.0
97,Breaking Benjamin,spotify:track:67Dl6kxMXJczrfx6S84z4x,spotify:artist:5BtHciL0e0zOP7prIHn3pP,Breath,spotify:album:1WQSRx1UOw48q3AMI1Qptq,296426,Shallow Bay: The Best Of Breaking Benjamin Deluxe Edition,"alternative metal, post-grunge, rock, hard rock",2011.0
16,Jurassic 5,spotify:track:6xPwzDEWhIbp3ugHVVZCNM,spotify:artist:6wFId9Jhuf9AKVzWboOj2B,Lausd,spotify:album:1stb0MeoH4AoPRZt39UhVy,247866,Quality Control,hip hop,2000.0
17,Ralph Stanley,spotify:track:2aY0A3R6USFp7UiH5I4199,spotify:artist:4fMhmL6pvw61o0C1z8Bdib,It's Heaven On Earth (To Walk With The Lord),spotify:album:4rtaE4ruBju1L6W5SVFTyp,113933,Almost Home,"bluegrass, christian country, southern gospel, newgrass",
28,Gerardo Ortiz,spotify:track:3oUUPToiGWXk8aC0tgMiZ9,spotify:artist:4J13m9IZh03PEhoxAxRhXO,Hola Corazón - NOKIA Theatre LA Live Version,spotify:album:651FOowfeC9esdLyTJiCuT,150213,Sold Out - En Vivo Desde El NOKIA Theatre LA Live,"banda, corrido, norteño, sierreño, corridos bélicos, música mexicana",2013.0
132,Vance Joy,spotify:track:19478RhU7tV6UkD8sWcxo7,spotify:artist:10exVja0key0uqUkk6LJRT,My Kind Of Man,spotify:album:6rIbiUMmZJfqJRnXhVxFvg,229840,Dream Your Life Away,folk pop,2014.0
10,The Doobie Brothers,spotify:track:2yBVeksU2EtrPJbTu4ZslK,spotify:artist:39T6qqI0jDtSWWioX8eGJz,What A Fool Believes,spotify:album:7je2uv9QBH65HhADDZitbB,223866,Minute By Minute,"classic rock, soft rock, southern rock",1978.0
92,Relient K,spotify:track:6k2KrNoIcKJQKWCQX8W7iB,spotify:artist:3nJWBJvK7uGvfp4iZh9CkN,Jefferson Aeroplane (Demo),spotify:album:4Lp3agc7frgczj0RHUpU25,238946,The Bird And The Bee Sides,"christian rock, christian alternative rock, pop punk",2008.0
61,Diddy,spotify:track:3Ofmic5jwOI7ZSECJSnmzs,spotify:artist:59wfkuBoNyhDMQGCljbUbA,You Could Be My Lover,spotify:album:0CrkKcykxkV6cZaWs4GlPh,275841,MMM,"hip hop, east coast hip hop",2016.0
3,Diana Krall,spotify:track:2x3CKqdgGYAsJGzgX9XBGF,spotify:artist:5z1VAFwT35EVvCp1XlZZuL,We Just Couldn't Say Goodbye,spotify:album:5JYRCZ1Q8zTD8LIL6vfIuD,187080,Glad Rag Doll,"vocal jazz, jazz, smooth jazz",2012.0
51,Iron Maiden,spotify:track:1diil6QNeFAYLwCuNkuCxI,spotify:artist:6mdiAmATAx73kdxrNrnlao,Losfer Words (Big 'Orra) - 1998 Remastered Version,spotify:album:4hFcwazEjeg3gJEu0AuxM7,252840,Powerslave,"heavy metal, metal, hard rock, rock",1984.0
59,M. Ward,spotify:track:0GaKJBD6rBiNdM3xTa4lUR,spotify:artist:6nXSnNEdLuKTzAQozRtqiI,To Go Home,spotify:album:0Z0w3f7N8l09VQP9yg7pUW,233440,Post-War,indie folk,2006.0
35,Bang!,spotify:track:1km10aMsTqI73A9VKIKATt,spotify:artist:5wyDmGpjhwjaTnfEEYQ1sr,Shooting Star (DJ Storm & Euphony Remix),spotify:album:1COHYEhbOoRSOSV53RYCUS,354523,Shooting Star (Vocal Hardcore Anthems),"happy hardcore, hardcore techno, hardcore",2005.0
62,People Under The Stairs,spotify:track:5vh9GfhmvKwEGN7uCwtGwp,spotify:artist:0av074qUwLn5eyzwqoq3xh,Acid Raindrops,spotify:album:2ood8bH4VbEAaxPpTFaSCy,295800,O.S.T.,"jazz rap, underground hip hop, alternative hip hop",2003.0
13,Zapp,spotify:track:1LiwqqaafXkNQuWGW3HeId,spotify:artist:396Kh0m4wGUvcMUULw71yi,More Bounce To The Ounce,spotify:album:1y7wSbPgFFeLxbpf5v5CIY,311120,Zapp,"post-disco, funk",1980.0
46,"Tito ""El Bambino""",spotify:track:2AMqHDdJMYyS31gjr77EXc,spotify:artist:5fJsY7afrbsyzJj9wdzJMh,Quiero Besarte (feat. J King & Maximan),spotify:album:0dcfCgn0CNKaxBxhKn5DvL,190613,Invencible,"reggaeton, urbano latino",2014.0
